cultura,area_ha,ph,fosforo_ppm,potassio_ppm,materia_organica_percent,fase_enos,precipitacao_total_ciclo,temperatura_media_ciclo,temperatura_max_ciclo,dias_calor_extremo_ciclo,produtividade_kg_ha
Milho,19.42,5.93,15.84,91.47,1.69,La Nina,283.20000000000005,24.606404080476054,34.6,3.0416666666666665,5250.286342169184
Algodão,19.28,5.27,16.04,108.7,2.58,La Nina,291.6,24.990560602703304,36.7,10.291666666666666,1689.6065099738012
Algodão,18.01,5.29,12.95,123.03,2.0,La Nina,291.6,24.932578673307678,35.9,9.208333333333334,1866.6657271985503
Algodão,19.62,6.07,15.71,58.38,2.54,La Nina,278.6,25.019875914026148,36.7,10.833333333333334,1532.9486056179787
Milho,20.84,6.16,7.27,141.51,1.58,La Nina,262.69999999999993,24.660177728408776,34.8,4.25,6843.508891513953
Milho,21.93,6.07,8.4,143.2,2.86,La Nina,255.40000000000003,24.794550694262508,35.5,6.083333333333333,4313.050990442593
Soja,20.1,5.01,6.6,148.7,3.2,La Nina,243.50000000000003,24.52728556300741,33.0,0.5,3540.3031302104823
Soja,18.31,5.12,10.52,53.83,2.78,La Nina,243.50000000000003,24.50794012365766,33.3,1.375,4785.892593706279
Algodão,21.46,5.45,7.36,149.12,2.9,La Nina,251.9,24.952534135616755,36.7,9.5,1991.0389060336388
Soja,19.05,5.18,22.15,104.9,3.31,La Nina,234.0,24.48410274210344,33.0,0.5416666666666666,4116.671400743384
Algodão,21.9,5.16,22.43,80.99,3.01,La Nina,242.4,24.955178031184545,36.7,9.5,2043.190688833997
Algodão,21.96,5.17,7.69,75.48,1.83,La Nina,242.40000000000003,25.014158889141815,36.7,10.583333333333334,1558.047832550026
Soja,18.88,5.23,22.89,110.05,3.46,La Nina,234.00000000000003,24.52588868940754,33.0,0.5,3381.9464554860124
Milho,19.25,5.45,19.57,83.65,1.83,La Nina,240.4,24.79549384333246,35.5,6.083333333333333,4198.055824156122
Algodão,20.18,5.23,19.73,116.62,3.47,La Nina,233.9,25.03694513999545,36.7,10.833333333333334,1786.9799117904004
Milho,18.55,4.81,22.03,69.95,2.88,La Nina,225.8,24.720688697584,35.5,4.916666666666667,5105.173507272
Milho,20.89,4.84,7.27,112.0,2.24,La Nina,231.9,24.812391930835734,35.5,6.25,4758.224588610418
Algodão,21.93,5.75,11.46,95.85,3.41,La Nina,226.9,25.0433966582742,36.7,10.833333333333334,1704.1429600420088
Soja,19.92,5.42,21.28,98.35,3.26,La Nina,218.5,24.51518307020491,33.3,1.25,3566.833895142876
Milho,20.45,5.22,9.02,59.19,2.63,La Nina,217.40000000000003,24.714493580599147,35.5,4.833333333333333,5260.614765357701
Soja,20.57,4.82,15.95,50.32,3.0,La Nina,205.7,24.45845496618013,33.0,0.5416666666666666,4312.172376865681
Milho,18.58,6.04,9.43,146.34,1.91,La Nina,206.8,24.842598899659414,35.5,6.833333333333333,6307.811855391225
Algodão,18.86,5.12,20.41,116.23,2.19,La Nina,233.4,25.074307588381,36.7,11.375,1807.7397256138584
Soja,19.1,5.84,17.06,42.03,2.39,La Nina,196.6,24.512072892938495,33.3,1.9166666666666667,3644.168661757591
Soja,18.75,5.22,18.61,135.26,3.02,La Nina,187.8,24.51520661157025,33.3,1.9166666666666667,4218.534700504123
Algodão,19.37,5.88,20.39,122.51,2.8,La Nina,196.2,25.02423232563675,36.7,10.583333333333334,1576.9192023412777
Milho,19.99,5.84,15.83,62.24,2.45,La Nina,191.00000000000003,24.79729655172414,35.5,6.25,3981.422802117693
Milho,20.68,5.87,19.04,56.6,2.49,La Nina,189.40000000000003,24.78646214466648,35.5,6.083333333333333,7226.214962360796
Milho,20.71,4.96,7.34,99.19,2.31,La Nina,187.00000000000003,24.79805609552902,35.5,6.25,3903.973634027112
Algodão,18.37,5.8,10.5,61.37,1.8,La Nina,250.3,25.10474185685797,36.7,11.666666666666666,1711.2431329795593
Algodão,18.38,4.88,8.03,136.84,2.18,La Nina,237.1,25.11445756293161,36.7,11.666666666666666,1786.7051897788758
Algodão,20.02,5.58,7.84,67.97,1.99,La Nina,186.3,25.08243786982248,36.7,11.125,1720.0676178477527
Algodão,21.11,4.98,22.8,47.04,1.68,La Nina,190.7,25.099791714880816,36.7,11.416666666666666,1841.9963159101546
Soja,18.12,6.17,21.4,81.07,3.03,La Nina,152.8,24.52037865748709,33.3,1.9166666666666667,4076.003034663673
Algodão,18.68,4.81,24.19,71.8,2.93,La Nina,189.6,25.096067023504773,36.7,11.375,1580.3034872858805
Soja,18.09,5.63,5.63,80.04,2.49,La Nina,151.4,24.53247544869624,33.3,2.0416666666666665,4074.5619719806373
Milho,20.9,5.38,5.14,128.16,2.22,La Nina,159.8,24.8862050311063,35.5,7.125,4833.342095765786
Algodão,20.02,4.9,6.77,132.66,3.24,La Nina,214.4,25.13592078306397,36.7,11.666666666666666,1651.9001922784023
Algodão,20.16,6.14,24.72,120.92,2.79,La Nina,172.7,25.10557010235658,36.7,11.25,1648.8231408080067
Algodão,21.24,5.73,20.62,46.91,1.6,La Nina,172.7,25.10557010235658,36.7,11.25,1810.570250293524
Milho,18.59,5.54,21.98,143.46,2.14,La Nina,139.29999999999998,24.865043625105542,35.5,6.666666666666667,6125.978184689757
Algodão,18.12,5.6,20.43,112.12,2.85,La Nina,243.1,25.14859295368934,36.7,11.708333333333334,1671.9914193485126
Soja,19.62,4.94,10.37,117.62,2.85,La Nina,131.5,24.53645425418298,33.3,1.8333333333333333,3576.7157457563344
Milho,20.83,4.9,24.46,96.25,3.28,La Nina,137.5,24.974615985420463,35.9,9.0,4677.1284780875
Milho,20.81,5.7,15.1,67.66,2.0,La Nina,130.50000000000003,24.97928049770084,35.6,8.166666666666666,6194.540253138657
Soja,19.52,5.91,9.97,121.67,2.86,La Nina,122.1,24.53627625489498,33.3,1.9166666666666667,3910.1743281313115
Milho,19.82,5.99,23.45,110.67,1.58,La Nina,128.70000000000002,25.010231710492057,36.7,9.5,4601.305697164409
Soja,21.51,5.09,12.83,103.16,1.92,La Nina,120.3,24.673190082644627,34.8,4.0,3991.962681518916
Algodão,20.71,4.96,7.34,99.19,2.31,El Nino,1132.4,24.87112785286949,32.6,0.4583333333333333,1925.6088266055756
Algodão,19.62,4.94,10.37,117.62,2.85,El Nino,1141.4,24.863034422275813,32.6,0.4583333333333333,1996.299321649457
Algodão,18.75,5.22,18.61,135.26,3.02,El Nino,1156.4,24.85757509318132,32.6,0.4583333333333333,1777.868318541682
Soja,18.55,4.81,22.03,69.95,2.88,El Nino,724.1999999999999,24.87639688452421,32.6,0.375,4038.1926999409616
Soja,18.74,5.53,12.37,120.34,3.16,El Nino,720.5,24.860172117039586,32.6,0.3333333333333333,3764.879021446667
Milho,18.62,6.06,24.86,63.55,2.0,El Nino,913.5,24.859358288770053,32.6,0.3333333333333333,5240.573567223708
Algodão,20.68,5.87,19.04,56.6,2.49,El Nino,1088.7,24.86994246260069,32.6,0.2916666666666667,1880.6983685071814
Soja,20.9,5.38,5.14,128.16,2.22,El Nino,736.4000000000001,24.896534488503832,32.6,0.2916666666666667,4244.310345357001
Milho,18.38,4.95,7.78,137.38,1.78,El Nino,963.1,24.8285944638538,32.6,0.25,5845.978666002104
Milho,18.86,5.12,20.41,116.23,2.19,El Nino,958.5,24.82504733567757,32.6,0.25,3902.751341410512
Algodão,19.52,5.91,9.97,121.67,2.86,El Nino,1161.0,24.82902725459783,32.6,0.25,1569.9637002301024
Soja,20.84,6.16,7.27,141.51,1.58,El Nino,709.3999999999999,24.83310786756853,32.6,0.25,3972.7903042763583
Soja,20.91,5.78,5.05,115.63,3.43,El Nino,725.2,24.881563673608746,32.6,0.25,4095.518096692884
Soja,21.96,5.17,7.69,75.48,1.83,El Nino,700.5,24.82357841361825,32.6,0.25,3848.344680291471
Milho,18.88,5.23,22.89,110.05,3.46,El Nino,955.0,24.816689354750885,32.6,0.25,6217.42479107635
Algodão,19.02,5.0,16.35,63.94,3.27,El Nino,1145.4,24.81941004278316,32.6,0.25,1586.656585584194
Milho,19.92,5.42,21.28,98.35,3.26,El Nino,954.9,24.815702932310224,32.6,0.25,5470.024096486328
Milho,18.38,4.88,8.03,136.84,2.18,El Nino,947.4,24.815889655172413,32.6,0.25,5170.442361289314
Milho,20.18,5.23,19.73,116.62,3.47,El Nino,958.8,24.812848255342168,32.6,0.25,5176.42211836029
Milho,19.62,6.07,15.71,58.38,2.54,El Nino,937.8,24.80424937098127,32.6,0.2083333333333333,4278.538653764216
Milho,18.31,5.12,10.52,53.83,2.78,El Nino,962.8,24.857745378807603,32.6,0.2083333333333333,5652.734808226488
Milho,20.02,4.9,6.77,132.66,3.24,El Nino,949.9,24.80791724137931,32.6,0.2083333333333333,4233.071881760567
Algodão,19.04,6.16,17.67,118.09,1.53,El Nino,1147.1999999999998,24.81392292269993,32.6,0.2083333333333333,1845.4511898315181
Algodão,18.05,4.96,17.3,128.0,2.95,El Nino,1146.6999999999998,24.825479391668505,32.6,0.2083333333333333,2020.0075325035086
Soja,20.81,5.7,15.1,67.66,2.0,El Nino,748.8,24.87306012764528,32.6,0.2083333333333333,4148.08588075576
Soja,18.58,6.04,9.43,146.34,1.91,El Nino,748.8,24.87306012764528,32.6,0.2083333333333333,3544.0408195939162
Algodão,20.89,5.89,24.35,148.16,2.66,El Nino,1120.5,24.807842680940187,32.6,0.2083333333333333,1578.9903717822024
Milho,19.42,5.23,22.84,70.93,3.06,El Nino,946.0,24.776839766731463,32.6,0.2083333333333333,4525.913686256625
Soja,19.99,5.84,15.83,62.24,2.45,El Nino,831.0999999999999,24.817645129550677,32.6,0.2083333333333333,3456.9079250428567
Algodão,21.69,6.13,19.22,109.1,3.2,El Nino,1129.9,24.788852687921807,32.6,0.2083333333333333,2125.2315909577683
Milho,21.11,4.98,22.8,47.04,1.68,El Nino,934.6,24.77922924341173,32.6,0.2083333333333333,5134.173704185838
Milho,21.51,5.09,12.83,103.16,1.92,El Nino,946.0,24.776839766731463,32.6,0.2083333333333333,6286.706399174748
Algodão,20.54,6.13,11.17,133.12,3.03,El Nino,1144.3000000000002,24.80060470324748,32.6,0.125,1820.1376301746982
Milho,19.05,5.18,22.15,104.9,3.31,El Nino,941.5,24.767894587701896,32.6,0.125,5103.288603316937
Soja,18.37,5.8,10.5,61.37,1.8,El Nino,809.4000000000001,24.81461202552906,32.6,0.125,4101.641801375066
Soja,21.58,5.43,18.49,69.17,1.74,El Nino,836.1000000000001,24.798710743801657,32.6,0.125,3553.510838525008
Soja,20.89,4.84,7.27,112.0,2.24,El Nino,806.6,24.799658586548308,32.6,0.125,4404.758307103484
Soja,19.15,5.86,18.54,104.34,3.38,El Nino,810.7,24.78910891089109,32.6,0.125,4729.257972677318
Algodão,19.82,5.99,23.45,110.67,1.58,El Nino,1119.7,24.765656804733727,32.6,0.125,1677.489073829642
Algodão,18.66,5.76,24.08,70.72,2.03,El Nino,1119.6,24.78932105868815,32.6,0.125,1980.3131699801047
Milho,19.1,5.84,17.06,42.03,2.39,El Nino,1005.2000000000002,24.782029372496662,32.6,0.125,4746.811960023262
Milho,18.77,4.89,21.1,93.66,1.71,El Nino,937.2,24.80430435990003,32.6,0.125,6839.1724286624385
Algodão,21.19,5.9,9.04,145.37,1.71,El Nino,1115.3,24.794781414511327,32.6,0.125,1825.4534238011731
Algodão,18.59,5.54,21.98,143.46,2.14,El Nino,1110.6999999999998,24.80468643875934,32.6,0.125,1797.5156390560232
Algodão,21.2,6.02,18.81,41.07,2.41,El Nino,1106.9,24.788590604026847,32.6,0.125,1917.9751715606033
Milho,19.56,4.93,19.71,134.49,2.34,El Nino,1004.1,24.774449456089148,32.6,0.125,5440.756590104778
Soja,20.1,5.52,21.18,110.13,1.7,El Nino,806.2,24.769559180839984,32.6,0.125,3736.819899816095
Soja,21.24,5.73,20.62,46.91,1.6,El Nino,819.0,24.75547968589963,32.0,0.0,4449.559759316341
Algodão,19.12,4.94,22.85,131.34,3.08,El Nino,1106.9,24.77591342797301,32.0,0.0,1456.9649331531546
Soja,20.34,5.75,16.61,91.88,2.21,El Nino,822.9000000000001,24.75055875380969,32.0,0.0,3916.688773896536
Milho,18.5,6.17,8.13,65.9,2.82,El Nino,1006.9,24.76766467065869,32.0,0.0,4125.918377646754
Milho,21.6,5.16,11.44,108.87,2.46,El Nino,998.4,24.7637834969488,32.0,0.0,5565.396767135639
Algodão,18.03,5.17,19.99,123.03,2.44,El Nino,1102.2,24.800963045912656,32.0,0.0,1615.5876881435831
Milho,19.18,5.49,10.33,90.21,3.26,El Nino,989.9,24.74538815255613,32.0,0.0,6477.876956852905
Algodão,18.12,6.17,21.4,81.07,3.03,El Nino,1104.5,24.815208287414592,32.0,0.0,1999.5957307958465
Milho,20.1,5.01,6.6,148.7,3.2,El Nino,997.2,24.74106809078772,32.0,0.0,5460.536450870011
Milho,21.6,6.08,12.89,70.04,1.76,El Nino,975.2,24.706177387361866,32.0,0.0,7026.435033139154
Soja,21.46,5.45,7.36,149.12,2.9,El Nino,826.2,24.655231967490685,32.0,0.0,3553.9660112427
Soja,20.83,4.9,24.46,96.25,3.28,El Nino,818.8,24.65119750086776,32.0,0.0,4457.274869804172
Algodão,18.77,5.85,20.74,136.66,1.93,El Nino,1097.0,24.7736171181425,32.0,0.0,1951.5290536759983
Soja,20.16,6.14,24.72,120.92,2.79,El Nino,865.6000000000001,24.63801246310266,32.0,0.0,3715.798069941218
Soja,21.9,5.16,22.43,80.99,3.01,El Nino,816.2,24.64669961171903,32.0,0.0,4054.9812326740616
