ano,mes,oni_index,fase_enos
2017,10,-0.56,La Nina
2017,11,-0.96,La Nina
2017,12,-0.99,La Nina
2018,1,-0.98,La Nina
2018,2,-0.78,La Nina
2018,3,-0.8,La Nina
2018,4,-0.51,La Nina
2018,5,-0.2,Neutro
2018,6,0.05,Neutro
2018,7,0.12,Neutro
2018,8,0.09,Neutro
2018,9,0.47,Neutro
2018,10,0.9,El Nino
2018,11,0.9,El Nino
2018,12,0.89,El Nino
2019,1,0.65,El Nino
2019,2,0.71,El Nino
2019,3,0.8,El Nino
2019,4,0.62,El Nino
2019,5,0.55,El Nino
2019,6,0.45,Neutro
2019,7,0.35,Neutro
2019,8,0.04,Neutro
2019,9,0.04,Neutro
2019,10,0.48,Neutro
2019,11,0.52,El Nino
2019,12,0.52,El Nino
2020,1,0.6,El Nino
2020,2,0.37,Neutro
2020,3,0.48,Neutro
2020,4,0.36,Neutro
2020,5,-0.27,Neutro
2020,6,-0.34,Neutro
2020,7,-0.3,Neutro
2020,8,-0.59,La Nina
2020,9,-0.83,La Nina
2020,10,-1.25,La Nina
2020,11,-1.42,La Nina
2020,12,-1.15,La Nina
2021,1,-0.99,La Nina
2021,2,-1.0,La Nina
2021,3,-0.8,La Nina
2021,4,-0.72,La Nina
2021,5,-0.46,Neutro
2021,6,-0.28,Neutro
2021,7,-0.39,Neutro
2021,8,-0.53,La Nina
2021,9,-0.55,La Nina
2021,10,-0.94,La Nina
2021,11,-0.94,La Nina
2021,12,-1.06,La Nina
2022,1,-0.95,La Nina
2022,2,-0.89,La Nina
2022,3,-0.97,La Nina
2022,4,-1.11,La Nina
2022,5,-1.11,La Nina
2022,6,-0.75,La Nina
2022,7,-0.7,La Nina
2022,8,-0.97,La Nina
2022,9,-1.07,La Nina
2022,10,-0.99,La Nina
2022,11,-0.9,La Nina
2022,12,-0.86,La Nina
2023,1,-0.72,La Nina
2023,2,-0.46,Neutro
2023,3,-0.11,Neutro
2023,4,0.13,Neutro
2023,5,0.46,Neutro
2023,6,0.84,El Nino
2023,7,1.02,El Nino
2023,8,1.35,El Nino
2023,9,1.6,El Nino
2023,10,1.72,El Nino
2023,11,2.02,El Nino
2023,12,2.02,El Nino
2024,1,1.81,El Nino
2024,2,1.51,El Nino
2024,3,1.12,El Nino
2024,4,0.77,El Nino
2024,5,0.23,Neutro
2024,6,0.18,Neutro
2024,7,0.05,Neutro
2024,8,-0.12,Neutro
2024,9,-0.26,Neutro
2024,10,-0.27,Neutro
2024,11,-0.25,Neutro
2024,12,-0.6,La Nina
2025,1,-0.73,La Nina
2025,2,-0.43,Neutro
2025,3,0.01,Neutro
2025,4,-0.14,Neutro
2025,5,-0.13,Neutro
2025,6,-0.06,Neutro
2025,7,-0.14,Neutro
2025,8,-0.32,Neutro
